model,condition,subtype,count,percentage
DeepSeek-R1,Single obfuscation,Obfuscation_narrative,51,91.07
DeepSeek-R1,Comprehensive,Obfuscation_narrative,8,28.57
DeepSeek-R1,Single obfuscation,Algorithm_misunderstanding,2,3.57
DeepSeek-R1,Comprehensive,Algorithm_misunderstanding,11,39.29
DeepSeek-R1,Single obfuscation,Hallucination_unrelated,1,1.79
DeepSeek-R1,Comprehensive,Hallucination_unrelated,5,17.86
DeepSeek-R1,Single obfuscation,Functional_inaccuracy,1,1.79
DeepSeek-R1,Comprehensive,Functional_inaccuracy,0,0.0
DeepSeek-R1,Single obfuscation,Algorithm_confusion,0,0.0
DeepSeek-R1,Comprehensive,Algorithm_confusion,2,7.14
DeepSeek-R1,Single obfuscation,Structural_description_only,0,0.0
DeepSeek-R1,Comprehensive,Structural_description_only,1,3.57
DeepSeek-R1,Single obfuscation,Semantic_drift,1,1.79
DeepSeek-R1,Comprehensive,Semantic_drift,1,3.57
Gemini,Single obfuscation,Obfuscation_narrative,44,81.48
Gemini,Comprehensive,Obfuscation_narrative,4,14.29
Gemini,Single obfuscation,Algorithm_misunderstanding,3,5.56
Gemini,Comprehensive,Algorithm_misunderstanding,17,60.71
Gemini,Single obfuscation,Hallucination_unrelated,1,1.85
Gemini,Comprehensive,Hallucination_unrelated,3,10.71
Gemini,Single obfuscation,Functional_inaccuracy,3,5.56
Gemini,Comprehensive,Functional_inaccuracy,2,7.14
Gemini,Single obfuscation,Algorithm_confusion,2,3.7
Gemini,Comprehensive,Algorithm_confusion,2,7.14
Gemini,Single obfuscation,Structural_description_only,1,1.85
Gemini,Comprehensive,Structural_description_only,0,0.0
Gemini,Single obfuscation,Semantic_drift,0,0.0
Gemini,Comprehensive,Semantic_drift,0,0.0
O4-mini,Single obfuscation,Obfuscation_narrative,44,78.57
O4-mini,Comprehensive,Obfuscation_narrative,6,20.0
O4-mini,Single obfuscation,Algorithm_misunderstanding,6,10.71
O4-mini,Comprehensive,Algorithm_misunderstanding,8,26.67
O4-mini,Single obfuscation,Hallucination_unrelated,4,7.14
O4-mini,Comprehensive,Hallucination_unrelated,7,23.33
O4-mini,Single obfuscation,Functional_inaccuracy,2,3.57
O4-mini,Comprehensive,Functional_inaccuracy,4,13.33
O4-mini,Single obfuscation,Algorithm_confusion,0,0.0
O4-mini,Comprehensive,Algorithm_confusion,3,10.0
O4-mini,Single obfuscation,Structural_description_only,0,0.0
O4-mini,Comprehensive,Structural_description_only,2,6.67
O4-mini,Single obfuscation,Semantic_drift,0,0.0
O4-mini,Comprehensive,Semantic_drift,0,0.0
