model,problem_id
DeepSeek,p03013
DeepSeek,p03011
DeepSeek,p02971
DeepSeek,p02675
DeepSeek,p03075
DeepSeek,p03102
DeepSeek,p02706
DeepSeek,p02411
DeepSeek,p00011
DeepSeek,p02922
DeepSeek,p03285
DeepSeek,p02953
DeepSeek,p02259
DeepSeek,p02958
DeepSeek,p03001
DeepSeek,p02994
DeepSeek,p04030
DeepSeek,p02983
DeepSeek,p03293
DeepSeek,p02398
DeepSeek,p02613
DeepSeek,p02711
DeepSeek,p03292
DeepSeek,p03316
DeepSeek,p02988
DeepSeek,p02570
DeepSeek,p02399
DeepSeek,p03136
Gemini,p03471
Gemini,p02401
Gemini,p04030
Gemini,p03041
Gemini,p02917
Gemini,p02397
Gemini,p02409
Gemini,p02995
Gemini,p03434
Gemini,p02971
Gemini,p02717
Gemini,p02916
Gemini,p02705
Gemini,p02394
Gemini,p03315
Gemini,p02257
Gemini,p03043
Gemini,p02577
Gemini,p03282
Gemini,p03075
Gemini,p02785
Gemini,p02687
Gemini,p02899
Gemini,p02657
Gemini,p02627
Gemini,p02420
Gemini,p02410
Gemini,p03060
O4,p02719
O4,p02988
O4,p02257
O4,p02971
O4,p02707
O4,p02404
O4,p02783
O4,p03478
O4,p03493
O4,p02268
O4,p03457
O4,p02701
O4,p02407
O4,p04044
O4,p03289
O4,p02773
O4,p03220
O4,p03042
O4,p02835
O4,p02935
O4,p02947
O4,p02400
O4,p02982
O4,p02578
O4,p03086
O4,p03315
O4,p02909
O4,p03060
O4,p03435
O4,p02570
