model,Description_Detailed,Description_Fewshot,Description_Reason,Description_Simple,Description_Vague
GPT3.5,0.2241,0.3021,0.3025,0.3114,0.2371
GPT4o,0.3863,0.4628,0.4604,0.4564,0.3848
Gemini,0.6577,0.6839,0.6798,0.6797,0.6682
LlamaVL,0.0015,0.0051,0.0077,0.0058,0.001
O4-mini,0.6341,0.6608,0.6404,0.6448,0.6361
Qwen3VL,0.0559,0.1903,0.194,0.1907,0.0619
codellama,0.0991,0.1569,0.1679,0.1573,0.0921
deepseek-r1,0.6183,0.6462,0.6397,0.6354,0.6192
deepseek-v3.1,0.5745,0.6114,0.6102,0.6177,0.5912
llama70B,0.2116,0.3465,0.3441,0.3349,0.2003
mistral,0.106,0.2095,0.2068,0.2167,0.112
qwencoder32B,0.2559,0.3357,0.3253,0.3348,0.2614
starchat,0.1045,0.1347,0.1418,0.1412,0.1125
starcoder,0.0673,0.0372,0.0434,0.0404,0.0693
