Model,With Comments,Without Comments,Variable Renaming,Dead Code,Encryption,Average
O4-mini,0.6599333333333334,0.6886666666666666,0.64976,0.66892,0.58036,0.6495279999999999
deepseek-r1,0.6797333333333334,0.6872666666666668,0.67032,0.6810400000000001,0.49216,0.6421040000000001
deepseek-v3.1,0.6678000000000001,0.6767333333333333,0.64436,0.67356,0.414,0.6152906666666668
GPT4o,0.5511333333333334,0.5658666666666666,0.47800000000000004,0.4814,0.21259999999999998,0.45780000000000004
qwencoder32B,0.41186666666666666,0.37586666666666674,0.28736,0.29919999999999997,0.17268,0.30939466666666665
GPT3.5,0.44926666666666665,0.39640000000000003,0.28852,0.27896,0.11783999999999999,0.3061973333333333
llama70B,0.4702,0.4128,0.27124,0.24495999999999998,0.10719999999999999,0.30128
mistral,0.3419999999999999,0.22953333333333328,0.12256,0.13164,0.07696,0.18053866666666665
Qwen3VL,0.3605333333333333,0.22153333333333336,0.07183999999999999,0.060919999999999995,0.04443999999999999,0.15185333333333334
codellama,0.23146666666666668,0.18086666666666665,0.10979999999999997,0.10663999999999998,0.07832,0.14141866666666666
starchat,0.17686666666666664,0.1335333333333333,0.13652,0.13832,0.06771999999999997,0.13059199999999999
starcoder,0.014133333333333331,0.0197333333333333,0.09003999999999997,0.07408,0.046559999999999976,0.04890933333333332
LlamaVL,0.0169333333333333,0.0026666666666666666,0.0012799999999999999,0.0020000000000000005,0.0008,0.004735999999999994
