model,overall_consistency,stable_problems,total_problems,stability_rate
Dataset_DeepseekV3.1,0.7410666666666667,230,250,0.92
Dataset_GPT3.5,0.5914666666666667,176,250,0.704
Dataset_GPT4o,0.6749333333333333,217,250,0.868
Dataset_Gemini,0.7949333333333333,239,250,0.956
Dataset_LlamaVL,0.09173333333333333,0,250,0.0
Dataset_O4-mini,0.8026666666666666,237,250,0.948
Dataset_Qwen3VL,0.3786666666666667,60,250,0.24
Dataset_codellama,0.15280000000000002,11,250,0.044
Dataset_deepseek-r1,0.7869333333333334,243,250,0.972
Dataset_mistral,0.5018666666666667,125,250,0.5
Dataset_qwencoder32B,0.6976,230,250,0.92
Dataset_starchat,0.3893333333333333,64,250,0.256
Dataset_starcoder,0.036533333333333334,0,250,0.0
